"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1575","","Resolvase;hypothetical protein","73","75","3","78","96.05263157894737","50.98039215686274","25.30666666666667","2.5633048431693153e-14","2.84860067221406e-10","5.198176409149745e-13","2","2","1","0.5","1.0"
"group_7221","","Site-specific recombinase phage integrase family","71","68","5","85","93.42105263157895","55.55555555555556","17.75","2.9894255808162915e-14","3.3221486479611445e-10","6.040270269020263e-13","3","2","2","1.0","1.0"
"group_5007","","hypothetical protein","71","68","5","85","93.42105263157895","55.55555555555556","17.75","2.9894255808162915e-14","3.3221486479611445e-10","6.040270269020263e-13","3","2","2","1.0","1.0"
"group_6709","","Thioredoxin reductase","68","59","8","94","89.47368421052632","61.43790849673203","13.542372881355933","3.130483843167676e-14","3.4789066949122386e-10","6.313805253924208e-13","3","2","2","1.0","1.0"
"group_1086","","HNH endonuclease;hypothetical protein","72","72","4","81","94.73684210526315","52.94117647058824","20.25","4.450330095571931e-14","4.945651835209087e-10","8.95951419421936e-13","3","2","2","1.0","1.0"
"group_10016","","Serine/threonine-protein phosphatase","25","0","51","153","32.89473684210527","100.0","inf","4.778457465643802e-14","5.310299781569957e-10","9.55089888771575e-13","3","3","0","0.25","0.25"
"group_9123","","Ead/Ea22-like family protein;ead/Ea22-like family protein","25","0","51","153","32.89473684210527","100.0","inf","4.778457465643802e-14","5.310299781569957e-10","9.55089888771575e-13","3","3","0","0.25","0.25"
"group_6259","","hypothetical protein","25","0","51","153","32.89473684210527","100.0","inf","4.778457465643802e-14","5.310299781569957e-10","9.55089888771575e-13","3","3","0","0.25","0.25"
"group_4072","","hypothetical protein","25","0","51","153","32.89473684210527","100.0","inf","4.778457465643802e-14","5.310299781569957e-10","9.55089888771575e-13","3","3","0","0.25","0.25"
"group_1326","","Tail tip assembly protein I;hypothetical protein","52","27","24","126","68.42105263157895","82.35294117647058","10.11111111111111","5.226022083236658e-14","5.807678341100898e-10","1.0408025700897667e-12","3","1","3","0.25","1.0"
"group_1110","","NlpC/P60 family protein","52","27","24","126","68.42105263157895","82.35294117647058","10.11111111111111","5.226022083236658e-14","5.807678341100898e-10","1.0408025700897667e-12","3","1","3","0.25","1.0"
"group_9554","rrrD","Lysozyme RrrD","49","23","27","130","64.47368421052632","84.9673202614379","10.257648953301127","8.842205847063746e-14","9.82634335784194e-10","1.7578431767159106e-12","3","1","3","0.25","1.0"
"tnpA_tnp",";tnpA;tnp","transposase;IS2 repressor TnpA;hypothetical protein;Transposase;IS3 family ISEcl1 transposase ORF A;IS3 family IS2 transposase ORF A","72","73","4","80","94.73684210526315","52.28758169934641","19.726027397260275","1.064460063393526e-13","1.1829344684492254e-09","2.112382979373617e-12","2","2","1","0.5","1.0"
"group_10058","tli1;","T6SS immunity phospholipase A1-binding lipoprotein Tli1-KP;hypothetical protein","0","62","76","91","0.0","59.47712418300654","0.0","1.1133910016066077e-13","1.2373114200854232e-09","2.197711225728993e-12","1","0","1","1.0","1.0"
"group_7557","","L-threonine 3-dehydrogenase","0","62","76","91","0.0","59.47712418300654","0.0","1.1133910016066077e-13","1.2373114200854232e-09","2.197711225728993e-12","1","0","1","1.0","1.0"
"group_3225","","Transcriptional regulator","0","62","76","91","0.0","59.47712418300654","0.0","1.1133910016066077e-13","1.2373114200854232e-09","2.197711225728993e-12","1","0","1","1.0","1.0"
"group_8685","","hypothetical protein","72","74","4","79","94.73684210526315","51.633986928104584","19.216216216216218","1.423962333181955e-13","1.5824493408651066e-09","2.8007952935665604e-12","3","3","1","0.25","1.0"
"group_8544","","hypothetical protein","72","74","4","79","94.73684210526315","51.633986928104584","19.216216216216218","1.423962333181955e-13","1.5824493408651066e-09","2.8007952935665604e-12","2","2","1","0.5","1.0"
"group_8145","","hypothetical protein","67","59","9","94","88.1578947368421","61.43790849673203","11.860640301318268","1.6126041151572403e-13","1.792086953174241e-09","3.166231366032228e-12","3","2","2","1.0","1.0"
"group_10536","","M14 family metallocarboxypeptidase;threonine--tRNA ligase","71","71","5","82","93.42105263157895","53.59477124183007","16.4","2.1510276191163264e-13","2.3904369931239736e-09","4.208515832964742e-12","3","3","1","0.25","1.0"
"group_8114","sopA","Protein SopA","71","71","5","82","93.42105263157895","53.59477124183007","16.4","2.1510276191163264e-13","2.3904369931239736e-09","4.208515832964742e-12","3","2","2","1.0","1.0"
"group_707","","GDSL-type esterase/lipase family protein","26","1","50","152","34.21052631578947","99.34640522875817","79.04","2.460434810819775e-13","2.734281205264016e-09","4.805415123486847e-12","3","3","1","0.25","1.0"
"group_9555","","6-phosphofructokinase;hypothetical protein","76","93","0","60","100.0","39.21568627450981","inf","2.786257789837725e-13","3.0963682818466637e-09","5.3663228454881516e-12","1","1","0","1.0","1.0"
"group_9447","","hypothetical protein","76","93","0","60","100.0","39.21568627450981","inf","2.786257789837725e-13","3.0963682818466637e-09","5.3663228454881516e-12","1","1","0","1.0","1.0"
